Transaction Date,Post Date,Description,Category,Type,Amount,Memo
06/07/2025,06/08/2025,SXM*SIRIUSXM.COM/ACCT,Bills & Utilities,Sale,-6.60,
06/07/2025,06/08/2025,C.M.LIFE HAVEN,Bills & Utilities,Sale,-90.36,
06/06/2025,06/08/2025,UBER   *TRIP,Travel,Sale,-5.63,
06/06/2025,06/08/2025,UBER   *TRIP,Travel,Sale,-9.89,
06/07/2025,06/08/2025,UBER   *TRIP,Travel,Sale,-6.77,
06/06/2025,06/08/2025,UBER   *TRIP,Travel,Sale,-14.42,
06/05/2025,06/06/2025,TARGET        00018895,Shopping,Sale,-30.14,
06/05/2025,06/06/2025,UBER   *TRIP,Travel,Sale,-17.23,
06/05/2025,06/06/2025,TARGET        00018895,Shopping,Sale,-9.72,
06/05/2025,06/06/2025,Disney Plus,Bills & Utilities,Sale,-12.11,
06/05/2025,06/06/2025,WHOLEFDS SLP 10171,Groceries,Sale,-83.10,
06/04/2025,06/05/2025,GEICO  *AUTO,Bills & Utilities,Sale,-85.43,
06/03/2025,06/04/2025,TST* TOTTO'S MARKET,Groceries,Sale,-40.26,
06/04/2025,06/04/2025,LAO SZE CHUAN (GRANT P,Food & Drink,Sale,-18.95,
06/03/2025,06/04/2025,MINT MOBILE,Bills & Utilities,Sale,-25.59,
06/01/2025,06/03/2025,TRADER JOE S #701,Groceries,Sale,-31.68,
06/02/2025,06/03/2025,UBER   *TRIP,Travel,Sale,-55.95,
06/02/2025,06/03/2025,WALGREENS #7179,Health & Wellness,Sale,-29.48,
06/01/2025,06/02/2025,TST* TOTTO'S MARKET,Groceries,Sale,-17.02,
06/01/2025,06/02/2025,TST* TOTTO'S MARKET,Groceries,Sale,-6.58,
06/01/2025,06/02/2025,SOUTH LOOP MARKET - 9TH,Groceries,Sale,-8.17,
06/02/2025,06/02/2025,MINT MOBILE,Bills & Utilities,Sale,-25.59,
05/31/2025,06/01/2025,Payment Thank You-Mobile,,Payment,6262.72,
05/30/2025,06/01/2025,SQ *REUNION BREAD CO,Food & Drink,Sale,-83.84,
05/31/2025,06/01/2025,GETCLEAN.US,Home,Sale,-203.39,
05/30/2025,06/01/2025,SOUTH LOOP MARKET - 9TH,Groceries,Sale,-21.44,
05/31/2025,06/01/2025,UBER   *TRIP,Travel,Sale,-7.92,
05/30/2025,06/01/2025,carters  Inc.,Shopping,Sale,-41.90,
05/29/2025,05/30/2025,SQ *REUNION BREAD CO,Food & Drink,Sale,-102.24,
05/30/2025,05/30/2025,UBER   *TRIP,Travel,Sale,-7.98,
05/29/2025,05/30/2025,Amazon.com*NN2PX9HT1,Groceries,Sale,-141.22,
05/28/2025,05/29/2025,Patagonia Direct Inc.,Shopping,Sale,-219.40,
05/28/2025,05/29/2025,SQ *REUNION BREAD CO,Food & Drink,Sale,-71.00,
05/29/2025,05/29/2025,UBER   *TRIP,Travel,Sale,-7.98,
05/27/2025,05/29/2025,RTD EAST DIA,Travel,Sale,-10.00,
05/27/2025,05/29/2025,STARBUCKS B09 ORD,Food & Drink,Sale,-7.65,
05/28/2025,05/28/2025,UBER   *TRIP,Travel,Sale,-47.94,
05/27/2025,05/27/2025,SHEDD AQUARIUM,Food & Drink,Sale,-5.59,
05/27/2025,05/27/2025,AMAZON MKTPL*NN12N6LP1,Shopping,Sale,-22.21,
01/12/2025,05/26/2025,ALLIANZ TRAVEL INS,Bills & Utilities,Sale,-55.00,
01/24/2025,05/26/2025,EB *CHRISTIAN DILLINGH,Personal,Sale,-60.20,
02/03/2025,05/26/2025,BP#9177858BP AMPM IRVING,Gas,Sale,-41.30,
05/25/2025,05/26/2025,TST* TOTTO'S MARKET,Groceries,Sale,-9.94,
05/25/2025,05/26/2025,TARGET        00018895,Shopping,Sale,-29.31,
05/25/2025,05/26/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-15.34,
05/23/2025,05/25/2025,NYTIMES*,Bills & Utilities,Sale,-23.00,
05/23/2025,05/25/2025,TRADER JOE S #701,Groceries,Sale,-72.69,
05/23/2025,05/25/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-12.50,
05/23/2025,05/25/2025,SQ *MOLLY'S CUPCAKES (SOU,Food & Drink,Sale,-26.04,
05/24/2025,05/25/2025,AMAZON MKTPL*NN4QS65N2,Shopping,Sale,-127.60,
05/24/2025,05/25/2025,LAO SZE CHUAN (GRANT P,Food & Drink,Sale,-92.81,
05/24/2025,05/25/2025,Prime Video Channels,Shopping,Sale,-5.50,
05/24/2025,05/25/2025,SQ *LOS RODRIGUEZ FARM LL,Groceries,Sale,-18.00,
05/24/2025,05/25/2025,SQ *THE BLOOMING BAKER LL,Food & Drink,Sale,-11.10,
05/22/2025,05/25/2025,TST*CODA DI VOLPE,Food & Drink,Sale,-190.81,
05/24/2025,05/25/2025,SOUTH LOOP MARKET - 9TH,Groceries,Sale,-10.72,
05/24/2025,05/25/2025,SQ *HEBRON FARMS,Groceries,Sale,-11.00,
05/22/2025,05/23/2025,ROOSELVET CLEANERS I,Personal,Sale,-116.00,
05/22/2025,05/23/2025,Half Sour,Food & Drink,Sale,-50.46,
05/22/2025,05/23/2025,TST* TOTTO'S MARKET,Groceries,Sale,-1.83,
05/17/2025,05/23/2025,KOHLER CO,Home,Sale,-35.84,
05/20/2025,05/22/2025,TST*FLACOS TACOS - DEAR,Food & Drink,Sale,-15.42,
05/20/2025,05/21/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-8.11,
05/20/2025,05/21/2025,AMAZON MKTPL*NW0XL9UP0,Shopping,Sale,-118.34,
05/19/2025,05/20/2025,MCDONALDS F13087,Food & Drink,Sale,-8.82,
05/19/2025,05/20/2025,TST* BREAKFAST HOUSE - IR,Food & Drink,Sale,-27.42,
05/18/2025,05/20/2025,JEWEL OSCO 4500,Groceries,Sale,-154.61,
05/19/2025,05/20/2025,TST* TOTTO'S MARKET,Groceries,Sale,-23.06,
05/19/2025,05/20/2025,SOUTH LOOP MARKET - 9TH,Groceries,Sale,-10.20,
05/20/2025,05/20/2025,Amazon.com*NW6CL2UN0,Shopping,Sale,-26.50,
05/19/2025,05/20/2025,TARGET        00018895,Shopping,Sale,-3.67,
05/17/2025,05/19/2025,Half Sour,Food & Drink,Sale,-51.46,
